Time,Distance
06/03/24 20:33:37,51
06/03/24 20:33:37,52
06/03/24 20:33:37,57
06/03/24 20:33:37,58
06/03/24 20:33:37,58
06/03/24 20:33:37,59
06/03/24 20:33:37,63
06/03/24 20:33:38,65
06/03/24 20:33:38,68
06/03/24 20:33:38,67
06/03/24 20:33:38,69
06/03/24 20:33:38,67
06/03/24 20:33:38,67
06/03/24 20:33:38,66
06/03/24 20:33:38,64
06/03/24 20:33:38,60
06/03/24 20:33:38,64
06/03/24 20:33:39,64
06/03/24 20:33:39,62
06/03/24 20:33:39,62
06/03/24 20:33:39,64
06/03/24 20:33:39,62
06/03/24 20:33:40,62
06/03/24 20:33:40,62
06/03/24 20:33:40,64
06/03/24 20:33:40,63
06/03/24 20:33:40,62
06/03/24 20:33:40,62
06/03/24 20:33:40,66
06/03/24 20:33:40,66
06/03/24 20:33:41,67
06/03/24 20:33:41,68
06/03/24 20:33:41,66
06/03/24 20:33:41,66
06/03/24 20:33:41,66
06/03/24 20:33:41,66
06/03/24 20:33:41,68
06/03/24 20:33:41,68
06/03/24 20:33:41,66
06/03/24 20:33:41,65
06/03/24 20:33:42,68
06/03/24 20:33:42,68
06/03/24 20:33:42,68
06/03/24 20:33:42,63
06/03/24 20:33:42,64
06/03/24 20:33:42,60
06/03/24 20:33:42,62
06/03/24 20:33:42,63
06/03/24 20:33:43,66
06/03/24 20:33:43,68
06/03/24 20:33:43,65
06/03/24 20:33:43,62
06/03/24 20:33:44,65
06/03/24 20:33:44,68
06/03/24 20:33:44,70
06/03/24 20:33:45,69
06/03/24 20:33:45,65
06/03/24 20:33:45,66
06/03/24 20:33:45,59
06/03/24 20:33:45,62
06/03/24 20:33:45,59
06/03/24 20:33:46,58
06/03/24 20:33:46,58
06/03/24 20:33:46,61
06/03/24 20:33:46,58
06/03/24 20:33:46,60
06/03/24 20:33:46,62
06/03/24 20:33:46,63
06/03/24 20:33:46,63
06/03/24 20:33:47,58
06/03/24 20:33:47,60
06/03/24 20:33:47,60
06/03/24 20:33:47,57
06/03/24 20:33:47,60
06/03/24 20:33:47,60
06/03/24 20:33:47,64
06/03/24 20:33:47,63
06/03/24 20:33:48,66
06/03/24 20:33:48,71
06/03/24 20:33:48,73
06/03/24 20:33:48,75
06/03/24 20:33:48,74
06/03/24 20:33:48,76
06/03/24 20:33:48,73
06/03/24 20:33:49,73
06/03/24 20:33:49,73
06/03/24 20:33:49,68
06/03/24 20:33:49,69
06/03/24 20:33:49,67
06/03/24 20:33:49,69
06/03/24 20:33:49,70
06/03/24 20:33:49,69
06/03/24 20:33:49,69
06/03/24 20:33:50,67
06/03/24 20:33:50,68
06/03/24 20:33:50,67
06/03/24 20:33:50,67
06/03/24 20:33:50,63
06/03/24 20:33:50,65
06/03/24 20:33:50,67
06/03/24 20:33:50,64
06/03/24 20:33:50,64
06/03/24 20:33:51,64
06/03/24 20:33:51,64
06/03/24 20:33:51,64
06/03/24 20:33:51,65
06/03/24 20:33:51,66
06/03/24 20:33:51,67
06/03/24 20:33:51,67
06/03/24 20:33:51,63
06/03/24 20:33:51,68
06/03/24 20:33:51,66
06/03/24 20:33:51,66
06/03/24 20:33:52,66
06/03/24 20:33:52,66
06/03/24 20:33:52,65
06/03/24 20:33:52,65
06/03/24 20:33:53,66
06/03/24 20:33:53,62
06/03/24 20:33:53,63
06/03/24 20:33:53,64
06/03/24 20:33:53,66
06/03/24 20:33:53,65
06/03/24 20:33:53,65
06/03/24 20:33:54,68
06/03/24 20:33:54,65
06/03/24 20:33:54,65
06/03/24 20:33:54,66
06/03/24 20:33:54,69
06/03/24 20:33:54,66
06/03/24 20:33:54,65
06/03/24 20:33:54,65
06/03/24 20:33:54,66
06/03/24 20:33:54,63
06/03/24 20:33:55,69
06/03/24 20:33:55,61
06/03/24 20:33:55,64
06/03/24 20:33:55,63
06/03/24 20:33:55,63
06/03/24 20:33:55,62
06/03/24 20:33:55,61
06/03/24 20:33:56,62
06/03/24 20:33:56,59
06/03/24 20:33:56,61
06/03/24 20:33:56,64
06/03/24 20:33:56,63
06/03/24 20:33:56,62
06/03/24 20:33:56,64
06/03/24 20:33:56,64
06/03/24 20:33:56,64
06/03/24 20:33:57,65
06/03/24 20:33:57,64
06/03/24 20:33:57,64
06/03/24 20:33:57,64
06/03/24 20:33:57,68
06/03/24 20:33:57,64
06/03/24 20:33:57,64
06/03/24 20:33:58,66
06/03/24 20:33:58,69
06/03/24 20:33:58,65
06/03/24 20:33:58,69
06/03/24 20:33:58,65
06/03/24 20:33:58,65
06/03/24 20:33:58,64
06/03/24 20:33:58,65
06/03/24 20:33:59,66
06/03/24 20:33:59,68
06/03/24 20:33:59,66
06/03/24 20:33:59,64
06/03/24 20:34:00,65
06/03/24 20:34:00,64
06/03/24 20:34:00,64
06/03/24 20:34:00,65
06/03/24 20:34:00,64
06/03/24 20:34:00,64
06/03/24 20:34:00,63
06/03/24 20:34:01,63
06/03/24 20:34:01,64
06/03/24 20:34:01,64
06/03/24 20:34:01,63
06/03/24 20:34:01,65
06/03/24 20:34:01,63
06/03/24 20:34:01,63
06/03/24 20:34:01,65
06/03/24 20:34:02,64
06/03/24 20:34:02,64
06/03/24 20:34:02,66
06/03/24 20:34:02,66
06/03/24 20:34:02,64
06/03/24 20:34:02,65
06/03/24 20:34:02,64
06/03/24 20:34:02,68
06/03/24 20:34:02,69
06/03/24 20:34:03,69
06/03/24 20:34:03,73
06/03/24 20:34:03,73
06/03/24 20:34:03,77
06/03/24 20:34:03,69
06/03/24 20:34:03,68
06/03/24 20:34:03,70
06/03/24 20:34:04,75
06/03/24 20:34:04,73
06/03/24 20:34:04,73
06/03/24 20:34:04,73
06/03/24 20:34:04,73
06/03/24 20:34:04,72
06/03/24 20:34:04,69
06/03/24 20:34:04,72
06/03/24 20:34:04,69
06/03/24 20:34:05,66
06/03/24 20:34:05,65
06/03/24 20:34:05,52
06/03/24 20:34:05,53
06/03/24 20:34:06,54
06/03/24 20:34:06,49
06/03/24 20:34:06,49
06/03/24 20:34:06,49
06/03/24 20:34:06,58
06/03/24 20:34:06,62
06/03/24 20:34:07,68
06/03/24 20:34:07,64
06/03/24 20:34:07,66
06/03/24 20:34:07,65
06/03/24 20:34:07,64
06/03/24 20:34:07,55
06/03/24 20:34:08,48
06/03/24 20:34:08,53
06/03/24 20:34:08,50
06/03/24 20:34:08,53
06/03/24 20:34:08,51
06/03/24 20:34:09,47
06/03/24 20:34:09,42
06/03/24 20:34:09,56
06/03/24 20:34:09,56
06/03/24 20:34:10,57
06/03/24 20:34:10,49
06/03/24 20:34:10,49
06/03/24 20:34:10,46
06/03/24 20:34:10,58
06/03/24 20:34:10,52
06/03/24 20:34:11,54
06/03/24 20:34:11,53
06/03/24 20:34:11,54
06/03/24 20:34:11,60
06/03/24 20:34:11,63
06/03/24 20:34:12,68
06/03/24 20:34:12,66
06/03/24 20:34:12,70
06/03/24 20:34:12,73
06/03/24 20:34:12,75
06/03/24 20:34:13,90
06/03/24 20:34:13,82
06/03/24 20:34:13,79
06/03/24 20:34:13,78
06/03/24 20:34:13,64
06/03/24 20:34:14,68
06/03/24 20:34:14,63
06/03/24 20:34:14,82
06/03/24 20:34:14,79
06/03/24 20:34:14,79
06/03/24 20:34:14,78
06/03/24 20:34:15,76
06/03/24 20:34:15,76
06/03/24 20:34:15,73
06/03/24 20:34:15,73
06/03/24 20:34:15,73
06/03/24 20:34:15,72
06/03/24 20:34:15,69
06/03/24 20:34:15,68
06/03/24 20:34:15,68
06/03/24 20:34:16,68
06/03/24 20:34:16,63
06/03/24 20:34:16,61
06/03/24 20:34:16,57
06/03/24 20:34:17,52
06/03/24 20:34:20,67
06/03/24 20:34:20,72
06/03/24 20:34:20,84
06/03/24 20:34:20,78
